minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
24,Penelope,0.608603392,26.2708267,16.16351957,27.56645942,6.950860593,17.74500001,9.408613521,17.31106932
24,Daffy Duck,0.618033483,28.70291761,14.10646118,35.39837734,6.335237129,21.12211013,14.85106516,29.53990635
36,Sylvester,0.625686757,28.25888541,14.32802724,35.1936337,7.417553769,19.07205603,12.45689345,27.36110761
36,Marvin the Martian,0.61618881,32.3774472,12.65175386,33.67477464,6.182700377,20.87743349,13.39106843,27.736083
36,Road Runner,0.632177323,27.82365887,14.01741458,35.70584117,6.880597367,29.85806497,12.142985,21.18521606
36,Foghorn Leghorn,0.629910331,30.57770311,14.39928754,35.45440773,5.694852847,21.43696504,12.15535726,26.4952799
36,Bugs Bunny,0.638410266,29.81184253,17.02941239,33.8884475,7.114551521,17.95873193,11.13795037,24.88923787
36,Elmer Fudd,0.629852594,27.72303784,15.49152455,33.23087224,5.232987621,22.55335629,15.67622764,28.58358514
36,Lola Bunny,0.636521249,31.71499843,13.73950605,32.93334226,6.49748518,22.73725877,14.72619755,28.40205686
36,Porky Pig,0.59458859,30.64423485,15.45437747,37.05172431,6.715195869,25.10370172,12.10060346,22.25662677
36,Tasmanian Devil,0.615697441,25.27600466,16.08181773,35.32468803,6.660048353,20.0581165,10.82078865,22.91025152
36,Gossamer,0.621303809,29.20867797,15.78034231,38.40440555,5.33074812,14.50404368,17.00989801,37.99398551
36,Granny,0.608159817,26.02160502,14.81480524,31.72127418,6.422251664,22.213857,16.45422489,27.64453466
36,Wile E. Coyote,0.628733126,31.2181176,13.88944636,33.24452404,4.70197103,21.82275139,14.88571954,29.25132592
36,Tweety,0.614730325,27.01330179,12.90798328,39.42579631,7.716531164,24.75667125,12.01830966,25.73422675
36,Penelope,0.598778869,28.05587684,14.68257325,30.81042821,7.406857262,19.6590728,10.80696317,20.33473427
36,Daffy Duck,0.63514275,28.8736697,15.05537999,31.8730389,5.855495718,22.55753882,15.69623813,28.29616507
